course_code	course_name	prerequisite	unit
ACCT2003	PRINCIPLES OF ACCOUNTING I	N/A	3
ACCT2013	PRINCIPLES OF ACCOUNTING II	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT2033	INTRODUCTION TO FINANCIAL	N/A	3
ACCT2043	PRINCIPLES OF ACCOUNTING I	N/A	3
ACCT2053	PRINCIPLES OF ACCOUNTING II	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT2063	FUNDAMENTAL ACCOUNTING PRINCIPLES	N/A	3
ACCT3003	COST AND MANAGEMENT ACCOUNTING I	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT3013	COST AND MANAGEMENT ACCOUNTING II	ACCT3003 COST AND MANAGEMENT ACCOUNTING I	3
ACCT3023	HONG KONG TAXATION	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT3033	INTERMEDIATE ACCOUNTING I	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT3043	INTERMEDIATE ACCOUNTING II	ACCT3033 INTERMEDIATE ACCOUNTING I	3
ACCT3053	CORPORATE GOVERNANCE AND ACCOUNTING	ACCT3033 INTERMEDIATE ACCOUNTING I	3
ACCT3063	TAX PLANNING AND MANAGEMENT	ACCT3023 HONG KONG TAXATION	3
ACCT3073	COST AND MANAGEMENT ACCOUNTING	ACCT2033 INTRODUCTION TO FINANCIAL ACCOUNTING (FOR NON-BBA MAJOR STUDENTS)	3
ACCT3083	CHINESE TAXATION LAW	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT3093	CHINESE ECONOMIC LAW	N/A	3
ACCT4003	AUDITING I	ACCT3033 INTERMEDIATE ACCOUNTING I	3
ACCT4013	AUDITING II	ACCT4003 AUDITING I	3
ACCT4023	FINANCIAL ACCOUNTING THEORY	ACCT3033 INTERMEDIATE ACCOUNTING I, and ACCT3043 INTERMEDIATE ACCOUNTING II	3
ACCT4033	ACCOUNTING INFORMATION SYSTEMS	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT4043	ADVANCED ACCOUNTING I	ACCT3033 INTERMEDIATE ACCOUNTING I, and  ACCT3043 INTERMEDIATE ACCOUNTING II	3
ACCT4053	ADVANCED ACCOUNTING II	ACCT3033 INTERMEDIATE ACCOUNTING I, and  ACCT3043 INTERMEDIATE ACCOUNTING II, and  ACCT4043 ADVANCED ACCOUNTING I	3
ACCT4063	ACCOUNTING INTERNSHIP	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I, and  ACCT2013 PRINCIPLES OF ACCOUNTING II	3
ACCT4073	ACCOUNTING INFORMATION SYSTEMS	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT4083	FRONTIERS OF ACCOUNTING DIGITALIZATION AND AUTOMATION	ACCT3003 COST AND MANAGEMENT ACCOUNTING I, and ACCT4003 AUDITING I, and ACCT3043 INTERMEDIATE ACCOUNTING II	3
AI1003	PYTHON PROGRAMMING	N/A	3
AI1013	OBJECT-ORIENTED PROGRAMMING	N/A	3
AI1023	DATABASE MANAGEMENT SYSTEMS	AI1003 PYTHON PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153 C++ PROGRAMMING LANGUAGE	3
AI1033	INTRODUCTION TO COMPUTER SYSTEMS	N/A	3
AI2003	DATA STRUCTURES AND ALGORITHM ANALYSIS	AI1013 OBJECT-ORIENTED PROGRAMMING	3
AI2013	INTRODUCTION TO ARTIFICIAL INTELLIGENCE	AI1003 PYTHON PROGRAMMING	3
AI2023	ARTIFICIAL INTELLIGENCE WORKSHOP	AI1003 PYTHON PROGRAMMING, and AI2013 INTRODUCTION TO ARTIFICIAL INTELLIGENCE	3
AI2033	PROBABILITY AND STATISTICS	MATH1073 CALCULUS I or MATH1123 CALCULUS FOR SCIENCE AND ENGINEERING or MATH1103 CALCULUS	3
AI2043	OPERATING SYSTEMS	AI1003 PYTHON PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or AI1013 OBJECT-ORIENTED PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153 C++ PROGRAMMING LANGUAGE	3
AI2053	INTRODUCTION TO COGNITIVE SCIENCE	N/A	3
AI2063	GAME THEORY	N/A	3
AI2073	PERCEPTION	N/A	3
AI3003	NEURAL NETWORKS AND DEEP LEARNING	AI1023 DATABASE MANAGEMENT SYSTEMS or DS2003 FUNDAMENTALS OF DATABASE SYSTEMS	3
AI3013	MACHINE LEARNING	AI1003 PYTHON PROGRAMMING or AI1013 OBJECT-ORIENTED PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or COMP3153 C++ PROGRAMMING LANGUAGE or GCIT1013 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS)	3
AI3023	MACHINE LEARNING WORKSHOP	AI1003 PYTHON PROGRAMMING	3
AI3033	INTRODUCTION TO ROBOTICS	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or COMP2003 DATA STRUCTURES AND ALGORITHMS or AI2003 DATA STRUCTURES AND ALGORITHM ANALYSIS	3
AI3043	BAYESIAN NETWORKS	AI2033 PROBABILITY AND STATISTICS, and AI2003 DATA STRUCTURES AND ALGORITHM ANALYSIS or COMP2003 DATA STRUCTURES AND ALGORITHMS	3
AI3053	INTELLIGENT AGENT TECHNOLOGY	N/A	3
AI3063	NEUROSCIENCE IN ARTIFICIAL INTELLIGENCE	N/A	3
AI3073	INTRODUCTION TO BIOINFORMATICS	N/A	3
AI3083	ARTIFICIAL INTELLIGENCE PROJECT	N/A	3
AI3093	DECISION THEORY	AI2033 PROBABILITY AND STATISTICS	3
AI3103	REGRESSION ANALYSIS	MATH1003 LINEAR ALGEBRA or MATH1063 LINEAR ALGEBRA II	3
AI3113	SPEECH PROCESSING AND RECOGNITION	MATH1003 LINEAR ALGEBRA, and AI2033 PROBABILITY AND STATISTICS	3
AI3123	DIGITAL IMAGE PROCESSING	MATH 1003 LINEAR ALGEBRA, and AI2033 PROBABILITY AND STATISTICS	3
AI3133	NATURAL LANGUAGE PROCESSING	AI1003 PYTHON PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or COMP1023 FOUNDATIONS OF C PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153 C++ PROGRAMMING LANGUAGE	3
AI3143	COMPUTER VISION	MATH1003 LINEAR ALGEBRA, and AI2003 DATA STRUCTURES AND ALGORITHM ANALYSIS or COMP2003 DATA STRUCTURES AND ALGORITHMS	3
AI3153	HUMAN-COMPUTER INTERACTION	N/A	3
AI3163	COMPUTER ARCHITECTURE AND OPERATING SYSTEMS	AI1003 PYTHON PROGRAMMING or DS1013 PYTHON PROGRAMMING FOR BEGINNERS or COMP1023 FOUNDATIONS OF C PROGRAMMING or AI1013 OBJECT-ORIENTED PROGRAMMING or COMP2013 OBJECT-ORIENTED PROGRAMMING	3
AI4003	OPTIMIZATION FOR MACHINE LEARNING	MATH1053 LINEAR ALGEBRA I or MATH1003 LINEAR ALGEBRA, and MATH1103 CALCULUS or MATH1073 CALCULUS I or MATH1123 CALCULUS FOR SCIENCE AND ENGINEERING	3
AI4004	FINAL YEAR PROJECT I (AI)	N/A	3
AI4005	FINAL YEAR PROJECT II (AI)	AI4004 FINAL YEAR PROJECT I (AI)	3
AI4013	KNOWLEDGE GRAPH ENGINEERING	N/A	3
AI4023	DEEP REINFORCEMENT LEARNING	AI3013 MACHINE LEARNING	3
AI4033	LARGE-SCALE DISTRIBUTED MULTI-AGENT SYSTEMS	AI3053 INTELLIGENT AGENT TECHNOLOGY	3
AI4043	ARTIFICIAL INTELLIGENCE INTERNSHIP	N/A	3
AI4053	FINTECH	N/A	3
AI4063	PATTERN RECOGNITION	MATH 1003 LINEAR ALGEBRA, and AI2033 PROBABILITY AND STATISTICS	3
AI4083	MULTIMEDIA MINING AND ANALYTICS	MATH 1003 LINEAR ALGEBRA, and AI2033 PROBABILITY AND STATISTICS, and AI3123 DIGITAL IMAGE PROCESSING	3
AI4093	DESIGN AND IMPLEMENTATION OF INTELLIGENT VISION SYSTEM	AI3143 COMPUTER VISION, and AI4063 PATTERN RECOGNITION	3
AIM2003	FUNDAMENTALS OF COMPUTER GRAPHICS	N/A	3
AIM2013	VISUAL COMMUNICATION	N/A	3
AIM2023	SCRIPTWRITING FOR ANIMATION	N/A	3
AIM2033	FUNDAMENTALS OF DIGITAL ILLUSTRATION	N/A	3
AIM3003	CHARACTER ANIMATION	N/A	3
AIM3013	SCENERY DESIGN	N/A	3
AIM3023	INTERACTIVE GRAPHICS	N/A	3
AIM3033	INTERACTIVE MEDIA WORKSHOP	N/A	3
AIM3043	3D MODELLING	N/A	3
AIM3053	MULTIMEDIA STORYTELLING	N/A	3
AIM3063	3D ANIMATION	N/A	3
AIM3073	ANIMATION SOUND DESIGN AND MIXING	N/A	3
AIM3083	2D COMPUTER ANIMATION	N/A	3
AIM3093	DIGITAL CULTURES AND VISUAL THINKING	N/A	3
AIM3103	JAPANESE ANIMATION	N/A	3
AIM3113	CHARACTER DESIGN AND STORYBOARD MAKING	AIM3083 2D COMPUTER ANIMATION	3
AIM3123	INTERACTIVE VIDEO PRODUCTION	N/A	3
AIM3133	HISTORY OF ANIMATION	N/A	3
AIM3143	SPECIAL TOPICS IN ANIMATION AND INTERACTIVE MEDIA SUBJECTS	N/A	3
AIM3153	GAME ART AND ANIMATION	AIM3043 3D MODELLING	3
AIM3163	ADVANCED DIGITAL ILLUSTRATION	AIM2033 FUNDAMENTALS OF DIGITAL ILLUSTRATION	3
AIM3173	MOBILE MEDIA GAME DEVELOPMENT	N/A	3
AIM4003	PRODUCTION METHODS	N/A	3
AIM4023	INTERACTIVE MEDIA ARTS: ORIGINS TO THE PRESENT	N/A	3
AIM4033	FINAL YEAR PROJECT I (AIM)	AIM3113 CHARACTER DESIGN AND STORYBOARD MAKING (for animation project) or CTV2033 COMMUNICATION RESEARCH METHODS (for dissertation) or AIM3123 INTERACTIVE VIDEO PRODUCTION (for interactive media project)	3
AIM4043	FINAL YEAR PROJECT II (AIM)	AIM3113 CHARACTER DESIGN AND STORYBOARD MAKING (for animation project) or CTV2033 COMMUNICATION RESEARCH METHODS (for dissertation) or AIM3123 INTERACTIVE VIDEO PRODUCTION (for interactive media project)	3
AIM4053	ADVANCED INTERACTIVE MEDIA WORKSHOP	N/A	3
AIM4063	STOP-MOTION ANIMATION	N/A	3
AIM4073	VIRTUAL AND AUGMENTED REALITY ART	AIM3043 3D MODELLING	3
AIM4083	ANIMATION AND INTERACTIVE MEDIA INTERNSHIP	N/A	3
AIM4093	SPECIAL TOPICS IN ANIMATION AND INTERACTIVE MEDIA STUDIES	N/A	3
AIM4103	STUDIES IN OPERATION AND MANAGEMENT OF ANIMATION INDUSTRY	N/A	3
AIM4113	DIGITAL MEDIA PROJECT MANAGEMENT	N/A	3
BA1003	DATABASE MANAGEMENT AND APPLICATIONS	N/A	3
BA2003	ARTIFICIAL INTELLIGENCE AND DEEP LEARNING	N/A	3
BA2013	DATA MINING WITH BIG DATA	N/A	3
BA2023	OPERATIONS RESEARCH	N/A	3
BA2033	OPTIMIZATION METHODS	N/A	3
BA2043	R LANGUAGE FOR STATISTICS	GFQR1023 DATA ANALYTICS FOR BUSINESS	3
BA3013	CUSTOMER BEHAVIOURS AND PSYCHOLOGY	MKT2003 PRINCIPLES OF MARKETING MANAGEMENT	3
BA3023	DATA ANALYSIS AND FINTECH FUNDAMENTALS	BA2003 ARTIFICIAL INTELLIGENCE AND DEEP LEARNING	3
BA3033	DATA ANALYSIS IN NEW MEDIA	N/A	3
BA3043	DATA VISUALIZATION	N/A	3
BA3053	ETHICAL ISSUES ON BUSINESS ANALYTICS	N/A	3
BA3063	GLOBAL OPERATIONS MANAGEMENT	N/A	3
BA3073	MOBILE AND CLOUD COMPUTING	N/A	3
BA3083	MULTIPLE CRITERIA DECISION MAKING	N/A	3
BA3093	SIMULATION AND RISK ANALYSIS	GFQR1023 DATA ANALYTICS FOR BUSINESS, and BA2043 R LANGUAGE FOR STATISTICS	3
BA3103	STATISTICAL REASONING FOR BUSINESS DECISIONS	BA2043 R LANGUAGE FOR STATISTICS	3
BA3113	SUPPLY CHAIN MANAGEMENT AND LOGISTICS	N/A	3
BA3123	TEXT MINING IN BUSINESS	N/A	3
BA4003	BUSINESS ANALYSIS RESEARCH SEMINAR	N/A	3
BA4013	BUSINESS ANALYTICS INTERNSHIP	N/A	3
BA4023	DECISION BEHAVIOR, ANALYSIS, AND SUPPORT	N/A	3
BA4033	KNOWLEDGE MANAGEMENT AND DIGITALIZATION	N/A	3
BA4043	SOCIAL MEDIA AND DIGITAL MARKETING	MKT2003 PRINCIPLES OF MARKETING MANAGEMENT	3
BIOL1003	INTRODUCTION TO WORLD ECOLOGICAL PROBLEMS AND MAN	N/A	3
BIOL1013	BIODIVERSITY AND THE EXTINCTION CRISIS	N/A	3
BIOL1023	DIVERSITY OF LIFE AND LABORATORY	N/A	3
BIOL2003	GENERAL BIOLOGY	N/A	3
BIOL2013	GENERAL BIOLOGY AND CHEMISTRY LABORATORY	BIOL2003 GENERAL BIOLOGY, and CHEM2003 GENERAL CHEMISTRY	3
BIOL2023	CONSERVATION ECOLOGY	N/A	3
BIOL2033	FOOD MICROBIOLOGY	N/A	3
BIOL2043	PRINCIPLES OF BIOLOGY	N/A	3
BIOL2053	PRINCIPLES OF MICROBIOLOGY	N/A	3
BIOL2063	BIOCHEMISTRY	BIOL2003 GENERAL BIOLOGY, and CHEM2003 GENERAL CHEMISTRY	3
BIOL2073	PHYSIOLOGY	BIOL2003 GENERAL BIOLOGY	3
BIOL2083	THE ECOLOGY AND BIOCONSERVATION IN CHINA	N/A	3
BIOL2093	MICROBIOLOGY	N/A	3
BIOL2103	BIOLOGY AND ECOLOGY LABORATORY	BIOL2003 GENERAL BIOLOGY	3
BIOL3003	ENVIRONMENTAL HEALTH AND TOXICOLOGY	N/A	3
BIOL3013	INTRODUCTION TO ENVIRONMENTAL BIOTECHNOLOGY	BIOL2043 PRINCIPLES OF BIOLOGY, and BIOL2053 PRINCIPLES OF MICROBIOLOGY	3
BIOL3023	BIOLOGY AND CHEMISTRY LABORATORY	N/A	3
BIOL3033	PRACTICAL BIODIVERSITY CONSERVATION	BIOL2023 CONSERVATION ECOLOGY, and ENV2003 INTRODUCTION TO ENVIRONMENTAL SCIENCE	3
BIOL3043	MOLECULAR BIOLOGY	BIOL2003 GENERAL BIOLOGY	3
BIOL3053	ENVIRONMENTAL BIOTECHNOLOGY AND LABORATORY	BIOL2003 GENERAL BIOLOGY, and  BIOL2093 MICROBIOLOGY	3
BIOL4003	BIODIVERSITY CONSERVATION	BIOL2023 CONSERVATION ECOLOGY, and ENV2003 INTRODUCTION TO ENVIRONMENTAL SCIENCE	3
BIOL4023	BIOCHEMISTRY AND BIOTECHNOLOGY LABORATORY	BIOL2003 GENERAL BIOLOGY, and BIOL2093 MICROBIOLOGY	3
BUS1013	BUSINESS, ENTREPRENEURSHIP AND INNOVATION	N/A	3
BUS2003	ORGANISATIONAL BEHAVIOUR	N/A	3
BUS2013	PRINCIPLES OF LAW	N/A	3
BUS2023	MARKETING STRATEGY AND MANAGEMENT	N/A	3
BUS2043	PRINCIPLES OF MANAGEMENT	N/A	3
BUS2053	PRINCIPLES OF LAW	N/A	3
BUS3003	BUSINESS COMMUNICATIONS	N/A	3
BUS3013	COMPANY LAW	BUS2013/BUS2053 PRINCIPLES OF LAW	3
BUS3023	BUSINESS RESEARCH METHODS	Quantitative Reasoning	3
BUS3043	QUALITATIVE RESEARCH METHODS	Quantitative Reasoning	3
BUS4013	STRATEGIC MANAGEMENT	N/A	3
BUS4023	MANAGEMENT INFORMATION SYSTEMS	N/A	3
BUS4033	BUSINESS INTERNSHIP AND HUMAN RESOURCE MANAGEMENT MENTORING	N/A	3
BUS4043	CROSS-CULTURAL AND COMPARATIVE MANAGEMENT	N/A	3
BUS4053	CORPORATE STRATEGY AND MANAGEMENT	ECON2053 ECONOMICS	3
BUS4063	INTERNATIONAL BUSINESS	N/A	3
BUS4073	BBA PROJECT I	N/A	3
BUS4083	BBA PROJECT II	BUS4073 BBA Project I	3
BUS4093	MANAGEMENT INFORMATION SYSTEMS	N/A	3
BUS4103	FINAL YEAR PROJECT (BUSA)	N/A	3
CCGC1003	CHINAS ROLES IN THE GLOBAL SYSTEMS	N/A	3
CCGC1013	INTRODUCTION TO COMMUNICATION THEORIES	N/A	3
CCGC1023	CHINA IN ESE IN WESTERN CULTURES	N/A	3
CCGC1033	CHINESE PHILOSOPHY IN THE GLOBAL CONTEXT	N/A	3
CCGC1043	SOCIAL DEVELOPMENT IN IMPERIAL CHINA	N/A	3
CCGC2003	TOPICS IN CHINESE INTELLECTUAL HISTORY	N/A	3
CCGC2023	INTRODUCTION TO CHINESE LITERATURE	N/A	3
CCGC2033	CHINESE PHILOLOGY	N/A	3
CCGC2043	COMMUNICATIVE ASPECTS OF CLASSICAL CHINESE POETRY	N/A	3
CCGC2053	SELECTED READINGS OF CLASSICAL CHINESE PROSE	N/A	3
CCGC2063	TRADITIONAL CHINESE NOVELS IN COMPARATIVE PERSPECTIVES	N/A	3
CCGC2073	FOLKLORE AND FOLK CULTURE	N/A	3
CCGC2083	INTRODUCTION TO COMPARATIVE LITERATURE	N/A	3
CCGC3003	TRADITIONAL CHINESE CIVILIZATION IN THE GLOBAL CONTEXT	CCGC1003 CHINA'S ROLES IN THE GLOBAL SYSTEMS	3
CCGC3013	LANGUAGE AND CROSS-CULTURAL COMMUNICATION	ENG1013 INTRODUCTION TO THE STUDY OF LANGUAGE	3
CCGC3023	HISTORY OF WESTERN SINOLOGY	N/A	3
CCGC3033	HISTORY OF SINO-FOREIGN CULTURAL EXCHANGE	CCGC1023 CHINA IN WESTERN CULTURES	3
CCGC3043	POPULAR CULTURE AND MASS MEDIA	MCOM1003 INTRODUCTION TO MEDIA STUDIES	3
CCGC3053	EAST ASIAN SINOLOGY	N/A	3
CCGC3063	CHINESE CLASSICS AND THEIR GLOBAL CIRCULATION	N/A	3
CCGC3073	SHAKESPEARE DRAMA IN CHINA	N/A	3
CCGC3083	CHINESE CLASSICS AND CHINESE CULTURE	N/A	3
CCGC3093	UNDERSTANDING COMMUNICATION IN CHINESE CULTURE	N/A	3
CCGC3103	ZEN AND ASIAN CULTURE	N/A	3
CCGC3113	INTERNSHIP (CCGC)	N/A	3
CCGC4003	CHINESE LITERATURE AND SOCIETY	N/A	3
CCGC4013	EMINENT SINOLOGISTS AND THEIR WORKS	CCGC3023 HISTORY OF WESTERN SINOLOGY	3
CCGC4023	FINAL YEAR PROJECT (CCGC)	N/A	3
CCGC4033	AESTHETICS OF CHINESE CINEMA	N/A	3
CCGC4043	STUDIES OF CONTEMPORARY CHINESE LINGUISTICS	N/A	3
CCGC4053	CHINESE DIASPORA AND TRANSNATIONAL MIGRATION	N/A	3
CCGC4063	LINGNAN CULTURE AND THE WORLD	N/A	3
CCGC4073	CHINESE CULTURAL RESOURCES AND CREATIVE INDUSTRIES	N/A	3
CCM2063	PRINCIPLES OF EXHIBITION DESIGN	N/A	3
CCM2093	CULTURE, CREATIVITY AND MANAGEMENT	N/A	3
CCM2113	EVENT PLANNING AND MANAGEMENT	N/A	3
CCM2123	PAST TO PRESENT STATE OF ARTS IN CULTURAL INDUSTRIES	N/A	3
CCM3023	CULTURAL POLICY, ECONOMY AND DEVELOPMENT	N/A	3
CCM3033	INTERNATIONAL CULTURAL TRADE	N/A	3
CCM3083	CULTURE, CREATIVITY AND MANAGEMENT IN CHINESE CITIES	N/A	3
CCM3093	BASIC STUDIES OF CULTURAL TOURISM IN CHINA	N/A	3
CCM3103	FOOD AND BEVERAGE MANAGEMENT	N/A	3
CCM3113	INTRODUCTION TO HOSPITALITY MANAGEMENT	N/A	3
CCM3123	CONCEPTS IN SPATIAL DESIGN	N/A	3
CCM3133	EXHIBITION DESIGN: CREATIVE INTERPRETATION AND MANAGEMENT	N/A	3
CCM3143	PUBLIC ARTS AND MUSEUM DESIGN MANAGEMENT IN THE URBAN  ENVIRONMENT	N/A	3
CCM3153	CONSUMER BEHAVIOUR IN CULTURAL INDUSTRIES	N/A	3
CCM3163	PRINCIPLES OF CREATIVE ARTS MANAGEMENT	N/A	3
CCM3173	CONCEPTS OF CONTEMPORARY ARTS IN CULTURAL INDUSTRIES	N/A	3
CCM4023	MANAGEMENT OF MEDIA PRODUCTION	N/A	3
CCM4033	CULTURAL INDUSTRIES INTERNSHIP	N/A	3
CCM4043	FUNDRAISING FOR ARTS AND CULTURE	N/A	3
CCM4053	CULTURAL HERITAGE AND TOURISM	N/A	3
CCM4063	COMMERCIAL SPACE PLANNING AND FACILITIES MANAGEMENT	N/A	3
CCM4073	INDUSTRIAL AND RETAIL DESIGN MANAGEMENT	N/A	3
CCM4083	CUSTOMER RELATIONSHIP MANAGEMENT IN CULTURAL INDUSTRIES	N/A	3
CCM4093	FINAL YEAR PROJECT (CCM)	BUS3023 BUSINESS RESEARCH METHODS	3
CCM4103	APPLIED SEMIOTICS FOR THE CULTURAL ENTREPRENEUR AND MANAGER	N/A	3
CCM4113	HYPER-REALITY AND APPLICATION OF SIMULATION SKILLS	N/A	3
CHEM2003	GENERAL CHEMISTRY	N/A	3
CHEM2023	PRINCIPLES OF CHEMISTRY	N/A	3
CHEM2033	ANALYTICAL CHEMISTRY	CHEM2003 GENERAL CHEMISTRY	3
CHEM2043	PHYSICAL CHEMISTRY	CHEM2003 GENERAL CHEMISTRY	3
CHEM2053	CHEMISTRY LABORATORY	N/A	3
CHEM2063	ORGANIC CHEMISTRY	CHEM2003 GENERAL CHEMISTRY	3
CHEM3003	PRINCIPLES OF BIOCHEMISTRY AND PHYSIOLOGY	CHEM2023 PRINCIPLES OF CHEMISTRY	3
CHEM3013	CHEMICAL ANALYSIS	CHEM2023 PRINCIPLES OF CHEMISTRY or CHEM2003 GENERAL CHEMISTRY	3
CHI1053	UNIVERSITY CHINESE (MORALITY AND FOUNDATIONS OF LAW)	N/A	3
CHI1063	CHINESE CULTURE AND MODERN CHINA	N/A	3
CHI1073	CONTEMPORARY CHINESE SOCIETY AND THOUGHT I	N/A	3
CHI1083	CONTEMPORARY CHINESE SOCIETY AND	N/A	0
CHI1093	CONTEMPORARY WORLD AND CHINA	N/A	0
CHI1103	INTRODUCTION TO MODERN SOCIAL THEORIES	N/A	3
CHI1183	CONTEMPORARY CHINESE SOCIETY AND	N/A	2
CHI1193	CONTEMPORARY WORLD AND CHINA	N/A	2
CHI1203	MORALITY AND FOUNDATIONS OF LAW	N/A	3
CHI1253	CONTEMPORARY CHINESE SOCIETY AND THOUGHT II	N/A	3
COMM1023	FUNDAMENTALS OF COMMUNICATION	N/A	3
COMM2003	COMMUNICATION THEORY	N/A	3
COMM2023	MASS MEDIA WRITING	N/A	3
COMM2033	PERSUASION AND SOCIAL INFLUENCE	N/A	3
COMM2043	INTRODUCTION TO VISUAL COMMUNICATION	N/A	3
COMM3003	COMMUNICATION RESEARCH	COMM2003 COMMUNICATION THEORY	3
COMM3013	INTRODUCTION TO FASHION COMMUNICATION	N/A	3
COMM3023	ORGANIZATIONAL COMMUNICATION	N/A	3
COMP1003	COMPUTER ORGANISATION	N/A	3
COMP1013	STRUCTURED PROGRAMMING	N/A	3
COMP1023	FOUNDATIONS OF C PROGRAMMING	N/A	3
COMP1033	SYSTEMS AND WEB DEVELOPMENT WORKSHOP	COMP1023 FOUNDATIONS OF C PROGRAMMING	3
COMP2003	DATA STRUCTURES AND ALGORITHMS	COMP1013 STRUCTURED PROGRAMMING or  GCIT1013 FOUNDATIONS OF C PROGRAMMING or  COMP1023 FOUNDATIONS OF C PROGRAMMING or  COMP2013 OBJECT-ORIENTED PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153 C++ PROGRAMMING LANGUAGE	3
COMP2013	OBJECT-ORIENTED PROGRAMMING	N/A	3
COMP2023	SOFTWARE DEVELOPMENT WORKSHOP I	GCIT1003 IT FOR SUCCESS OF EVERYDAY LIFE AND WORK or GCIT1013 FOUNDATIONS OF C PROGRAMMING or GCIT1023 PYTHON PROGRAMMING FOR BEGINNERS	1
COMP2073	DATA PROGRAMMING WORKSHOP	COMP1023 FOUNDATIONS OF C PROGRAMMING, and COMP2013 OBJECT-ORIENTED PROGRAMMING	3
COMP3003	DATA COMMUNICATIONS AND NETWORKING	COMP1003 COMPUTER ORGANISATION	3
COMP3013	DATABASE MANAGEMENT SYSTEMS	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or COMP1023 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153C++PROGRAMMING LANGUAGE	3
COMP3023	DESIGN AND ANALYSIS OF ALGORITHMS	COMP2003 DATA STRUCTURES AND ALGORITHMS or  COMP3143 DATA STRUCTURE (FOR FM STUDENTS) or COMP3283 DATA STRUCTURE	3
