course_code	course_name	course_name_cn
CTV4153	FINAL YEAR PROJECT (CTV)	毕业设计（CTV）
CTV4163	DIGITAL SPECIAL EFFECTS WORKSHOP	数字特效工作坊
CTV4173	MULTIPLE MEDIA NARRATIVE WRITING	多媒体叙事写作
CTV4183	ADVANCED DIRECTING	高级导演
CTV4193	ELECTRONIC MEDIA MANAGEMENT	电子媒体管理
CTV4203	MEDIA PROGRAMMING AND PLANNING	媒体节目编排与策划
CTV4213	VISUAL MEDIA STUDIES	视觉媒体研究
CTV4223	FILM RESEARCH METHODS	电影研究方法
DHSS2003	TRANSCULTURAL EXCHANGE IN THE HUMANITIES AND SOCIAL SCIENCES	人文社会科学跨文化交流
DMM2003	DIGITAL DESIGN THINKING	数字设计思维
DMM2013	DIGITAL MEDIA TECHNOLOGIES	数字媒体技术
DMM2023	MEDIA AND CULTURE	媒体与文化
DMM3003	"AI, DATA SCIENCE AND MANAGEMENT"	人工智能、数据科学与管理
DMM3013	DATA-DRIVEN MEDIA MANAGEMENT	数据驱动媒体管理
DMM3023	DIGITAL STORYTELLING	数字故事讲述
DMM3033	MEDIA PSYCHOLOGY	媒体心理学
DMM3043	PROJECT I: MEDIA TECHNOLOGIES	项目一：媒体技术
DMM3053	PROJECT II: DIGITAL BUSINESS MODELS	项目二：数字商业模式
DMM3063	PROJECT III: TREND AND FUTURE RESEARCH	项目三：趋势与未来研究
DMM3073	SOCIAL MEDIA MANAGEMENT	社交媒体管理
DMM4003	DIGITAL MEDIA MANAGEMENT INTERNSHIP	数字媒体管理实习
DMM4013	DIGITAL TRANSFORMATION	数字转型
DMM4023	LOW CODING AND DATA SCIENCE	低代码与数据科学
DMM4033	MANAGEMENT AND CONTROL	管理与控制
DS1013	PYTHON PROGRAMMING FOR BEGINNERS	Python编程入门
DS1023	ADVANCED MATHEMATICS FOR DATA SCIENCE	数据科学高级数学
DS2003	FUNDAMENTALS OF DATABASE SYSTEMS	数据库系统基础
DS2013	DATA PROCESSING WORKSHOP I	数据处理工作坊一
DS2033	LINUX SYSTEM MANAGEMENT AND PROGRAMMING	Linux系统管理与编程
DS2043	DATA PROCESSING WORKSHOP I	数据处理工作坊一
DS3003	DATA PROCESSING WORKSHOP II	数据处理工作坊二
DS3013	DATA PROCESSING WORKSHOP III	数据处理工作坊三
DS3023	DIGITAL LOGIC DESIGN	数字逻辑设计
DS3033	TECHNICAL COMMUNICATION	技术交流
DS3043	DATA PROCESSING WORKSHOP II	数据处理工作坊二
DS3053	REQUIREMENTS ENGINEERING FOR DATA SCIENCE PROJECTS	数据科学项目的需求工程
DS4003	OPTIMISATION METHODS	优化方法
DS4004	FINAL YEAR PROJECT I (DS)	毕业设计一（DS）
DS4005	FINAL YEAR PROJECT II (DS)	毕业设计二（DS）
DS4013	DATA MINING (FOR DS STUDENTS)	数据挖掘（面向DS学生）
DS4023	MACHINE LEARNING	机器学习
DS4033	TEXT MINING AND ANALYTICS	文本挖掘与分析
DS4043	INTRODUCTION TO STATISTICAL COMPUTING	统计计算导论
DS4053	INTRODUCTION TO BIOINFORMATICS	生物信息学导论
DS4063	SOCIAL COMPUTING	社交计算
DS4073	INTRODUCTION TO DATA VISUALISATION	数据可视化导论
DS4083	BIG DATA ANALYTICS	大数据分析
DS4093	INTRODUCTION TO RECOMMENDER SYSTEM	推荐系统导论
DSS1013	BIG IDEAS IN SOCIAL SCIENCES	社会科学中的大创意
DSS1023	INVITATION TO DIGITAL SOCIAL SCIENCE	数字社会科学邀请函
DSS2003	EMPLOYMENT AND TAX POLICY FOR DIGITAL ECONOMY	数字经济就业与税收政策
DSS2013	SMART CITY	智慧城市
DSS2023	BEHAVIORAL SCIENCE AND THE DIGITAL WORLD	行为科学与数字世界
DSS2033	SOCIAL POLICY IN DIGITAL SOCIETY	数字社会中的社会政策
DSS3003	"CULTURE, DIVERSITY AND SOCIETY"	文化、多样性和社会
DSS3013	EDUCATION POLICY AND DIGITAL SOCIETY	教育政策与数字社会
DSS3023	NETWORK ANALYSIS FOR SOCIAL PLANNING	社会规划的网络分析
DSS3033	ETHICS AND LEGAL ISSUES IN DIGITAL SOCIETY	数字社会中的伦理与法律问题
DSS3043	DIGITAL EMERGENCY AND DISASTER RISK MANAGEMENT	数字应急与灾害风险管理
DSS3053	LEARNING ORGANIZATIONS	学习型组织
DSS3063	SOCIAL WELFARE INFORMATICS	社会福利信息学
DSS4023	FINAL YEAR PROJECT IN DIGITAL SOCIAL SCIENCE	数字社会科学专业毕业设计
DSS4033	DIGITAL SOCIAL SCIENCE INTERNSHIP	数字社会科学实习
DSS4043	DIGITAL DISEASE AND HEALTH SERVICE MANAGEMENT	数字疾病与健康服务管理
EBIS2003	INTRODUCTION TO BLOCKCHAIN	区块链导论
EBIS2013	FUNDAMENTALS OF DIGITAL ECONOMY AND FINTECH	数字经济与金融科技基础
EBIS2023	BUSINESS ANALYTICS	商业分析
EBIS3003	DATABASE MANAGEMENT	数据库管理
EBIS3013	BUSINESS SYSTEMS DESIGN AND ANALYSIS	商业系统设计与分析
EBIS3023	ELECTRONIC COMMERCE	电子商务
EBIS3033	PROGRAMMING FOR BUSINESS APPLICATIONS	商业应用编程
EBIS3043	"IT GOVERNANCE, AUDIT AND CONTROL"	IT治理、审计与控制
EBIS3063	TELECOMMUNICATIONS IN BUSINESS	商业中的电信
EBIS3073	DECISION SUPPORT AND BUSINESS INTELLIGENCE SYSTEMS	决策支持与商业智能系统
EBIS3083	E-CUSTOMER BEHAVIOURS AND WEB ANALYTICS	电子客户行为与网络分析
EBIS3093	DEVELOPING APPLICATIONS FOR MOBILE AND SOCIAL MEDIA	为移动和社交媒体开发应用程序
EBIS3103	INTRODUCTION TO BUSINESS DATA ANALYTICS	商业数据分析导论
EBIS4013	SEMINAR IN E-BUSINESS MANAGEMENT AND INFORMATION SYSTEMS	电子商务管理与信息系统研讨会
EBIS4043	BIG DATA ANALYSIS AND APPLICATIONS	大数据分析与应用
EBIS4063	INFORMATION SECURITY AND PRIVACY MANAGEMENT	信息安全与隐私管理
EBIS4073	E-BUSINESS MANAGEMENT AND INFORMATION SYSTEMS INTERNSHIP	电子商务管理与信息系统实习
ECON2003	PRINCIPLES OF MACROECONOMICS	宏观经济学原理
ECON2013	PRINCIPLES OF MICROECONOMICS	微观经济学原理
ECON2023	MATHEMATICAL ECONOMICS	经济数学
ECON2053	ECONOMICS	经济学
ECON2063	INTRODUCTION TO ECONOMICS	经济学导论
ECON2083	ECONOMIC HISTORY	经济史
ECON2093	ENTREPRENEURIAL ECONOMICS	企业家经济学
ECON2103	MICROECONOMICS	微观经济学
ECON2113	MACROECONOMICS	宏观经济学
ECON3003	INTERMEDIATE MACROECONOMICS	中级宏观经济学
ECON3013	APPLIED ECONOMETRICS	应用计量经济学
ECON3023	ASIA-PACIFIC ECONOMIES	亚太经济
ECON3043	MONEY AND BANKING	货币与银行
ECON3053	FOUNDATIONS OF CHINESE ECONOMY	中国经济基础
ECON3063	INTERMEDIATE MICROECONOMICS	中级微观经济学
ECON3073	GAMES AND ECONOMIC DECISIONS	博弈与经济决策
ECON3083	MATHEMATICAL ECONOMICS II	经济数学二
ECON3093	INTRODUCTION TO INTERNATIONAL ECONOMICS	国际经济学导论
ECON3113	LINEAR ALGEBRA FOR ECONOMICS AND FINANCE	经济学与金融的线性代数
ECON3123	CALCULUS FOR ECONOMICS AND FINANCE	经济学与金融的微积分
ECON3133	INTRODUCTORY ECONOMETRICS	计量经济学入门
ECON3143	POLITICAL ECONOMY	政治经济学
ECON3153	PROGRAMMING FOR ECONOMIC AND BUSINESS ANALYSIS	经济学与商业分析编程
ECON3163	SELECTED READING FROM DAS KAPITAL	资本论选读
ECON3173	CROSS SECTION AND PANEL DATA ANALYSIS	横截面与面板数据分析
ECON3183	TIME SERIES DATA ANALYSIS	时间序列数据分析
ECON4003	ECONOMIC AND BUSINESS FORECASTING	经济与商业预测
ECON4013	INDUSTRIAL ORGANISATION	产业组织
ECON4023	LABOUR ECONOMICS	劳动经济学
ECON4033	MONEY AND FINANCE IN CHINA	中国货币与金融
ECON4043	PUBLIC FINANCE	公共财政
ECON4053	DEVELOPMENT ECONOMICS	发展经济学
ECON4083	INTERNATIONAL TRADE	国际贸易
ECON4093	URBAN ECONOMICS	城市经济学
ECON4103	APPLIED ECONOMICS INTERNSHIP	应用经济学实习
ECON4113	ENVIRONMENTAL ECONOMICS	环境经济学
ECON4123	REAL ESTATE ECONOMICS AND FINANCE	房地产经济学与金融
ECON4133	MICROECONOMIC THEORY	微观经济学理论
ENG1003	INTRODUCTION TO THE STUDY OF LITERATURE	文学研究导论
ENG1013	INTRODUCTION TO THE STUDY OF LANGUAGE	语言学导论
ENG2043	SPEECH AND ORAL COMMUNICATIONS	演讲与口语交际
ENG2053	PROFESSIONAL AND TECHNICAL WRITING	专业与技术写作
ENG2063	CHILDRENS LITERATURE	儿童文学
ENG2083	DISCOURSE AND GRAMMAR	话语与语法
ENG2093	THE SHORT STORY	短篇小说
ENG2113	PRAGMATICS AND DISCOURSE ANALYSIS	语用学与话语分析
ENG2123	INTRODUCTION TO CORPUS LINGUISTICS	语料库语言学导论
ENG2143	NEW MEDIA LITERACIES	新媒体素养
ENG2153	CREATIVE WRITING FOR PUBLICATION	出版创意写作
ENG2163	BRITISH LITERATURE: THE EMPIRE AND THE CRISIS OF IDENTITY	英国文学：帝国与身份危机
ENG2173	AMERICAN LITERATURE: TRADITIONS OF DEMOCRACY AND DISSENT	美国文学：民主与异议传统
ENG2183	ENGLISH PHONETICS AND PHONOLOGY	英语语音和音系学
ENG2193	LEXIS AND MORPHOLOGY	词汇和形态学
ENG2203	INTRODUCTION TO WESTERN DRAMA	西方戏剧导论
ENG2213	INTRODUCTION TO FILM AND LITERATURE	电影与文学导论
ENG2223	ENGLISH THROUGH MEDIA	媒体中的英语
ENG3003	WORLD LITERATURE IN ENGLISH	英语世界文学
ENG3023	INTRODUCTION TO PSYCHOLINGUISTICS	心理语言学导论
ENG3033	ADVANCED ENGLISH COMPOSITION	高级英语写作
ENG3043	"RHETORIC, ARGUMENTATION, AND DEBATE"	修辞、辩论和争论
ENG3053	ENGLISH AS A WORLD LANGUAGE	英语作为世界语言
ENG3063	TRAVEL WRITING AND THE LANGUAGE OF TOURISM	旅游写作与旅游语言
ENG3073	LANGUAGE AND SOCIETY	语言与社会
ENG3083	LANGUAGE AND ETHNOGRAPHY	语言与民族志
ENG3093	READING POETRY	诗歌阅读
ENG3123	POSTHUMAN FUTURES: SCIENCE FICTION SINCE 1960	后人类未来：1960年以来的科幻小说
ENG3143	ANALYSING MULTIMODAL COMMUNICATION	分析多模态交流
ENG3153	ENGLISH THROUGH MEDIA	媒体中的英语
ENG3163	DRAMATIC WORDS: THEATRE AND PERFORMANCE	戏剧性语言：戏剧与表演
ENG3173	CONTEMPORARY LITERARY THEORY AND CRITICISM	当代文学理论与批评
ENG3183	CREATIVE WRITING FOR PERFORMANCE	表演创意写作
ENG3203	LANGUAGE AND INTERCULTURAL COMMUNICATION	语言与跨文化交际
ENG3213	LANGUAGE IN BUSINESS AND LEGAL COMMUNICATION	商业与法律交际中的语言
ENG3223	CROSS-CULTURAL STUDIES OF LITERATURE	文学的跨文化研究
ENG3233	NONFICTION NARRATIVE WRITING AND EDITING	非虚构叙事写作与编辑
ENG3243	RESEARCH WRITING	研究写作
ENG3253	ADVANCED READING AND WRITING	高级阅读与写作
ENG3303	CONTEMPORARY LITERARY THEORY	当代文学理论
ENG3313	LITERARY CRITICISM IN THE TWENTIETH CENTURY: PRACTICAL CRITICISM TO  DECONSTRUCTION	二十世纪的文学批评：实用批评到解构主义
ENG3353	"SHAKESPEARE: LITERATURE, PERFORMANCE AND ADAPTATION"	莎士比亚：文学、表演与改编
ENG3363	CLASSICAL MYTHOLOGY IN ENGLISH	英语古典神话
ENG3373	FEMINIST READINGS OF LITERATURE	文学的女性主义解读
ENG3383	THE ART OF READING FICTION	小说阅读的艺术
ENG3393	LITERATURE AND FILM	文学与电影
ENG4013	MAJOR AUTHOR STUDY	主要作家研究
ENG4023	MAJOR GENRE IN LITERATURE	文学中的主要体裁
ENG4053	CREATIVE WRITING	创意写作
ENG4063	OFF-CAMPUS INTERNSHIP EXPERIENCE	校外实习体验
ENG4103	FINAL YEAR PROJECT I (ELLS)	毕业设计一（ELLS）
ENG4123	EDITING AND PUBLISHING PRACTICUM I	编辑与出版实习一
ENG4133	RESEARCH SKILLS IN LITERARY STUDIES	文学研究中的研究技能
ENG4143	FINAL YEAR PROJECT II (ELLS)	毕业设计二（ELLS）
ENG4153	EDITING AND PUBLISHING PRACTICUM II	编辑与出版实习二
ENG4173	CURRENT ISSUES IN ENGLISH STUDIES	英语研究中的热点问题
ENG4183	RESEARCH SKILLS IN DIGITAL LITERACY AND INTERCULTURAL COMMUNICATION	数字素养与跨文化交际中的研究技能
ENG4193	FINAL YEAR PROJECT (ELLS)	毕业设计（ELLS）
ENG4203	"GLOBALISATION, MEDIA AND INTERCULTURAL COMMUNICATION"	全球化、媒体与跨文化交流
ENG4213	SPECIAL TOPIC IN LITERATURE	文学中的专题
ENG4223	INTERCULTURAL COMMUNICATION IN THE WORKPLACE	工作场所的跨文化交流
ENGI2003	MECHANICAL ENGINEERING AND PRACTICE	机械工程与实践
ENGI2013	ENGINEERING DRAWING AND AUTOCAD PRACTICE	工程制图与AUTOCAD实践
ENV1003	CLIMATE CHANGE	气候变化
ENV1013	INTRODUCTION TO ECO-CITIES	生态城市导论
ENV1023	INTRODUCTION TO PLANET EARTH SCIENCE	地球科学导论
ENV2003	INTRODUCTION TO ENVIRONMENTAL SCIENCE	环境科学导论
ENV3003	RESOURCES AND THE ENVIRONMENT	资源与环境
ENV3013	SUSTAINABLE ENVIRONMENTAL MANAGEMENT	可持续环境管理
ENV3023	ENVIRONMENTAL CHEMISTRY AND POLLUTION CONTROL	环境化学与污染控制
ENV3033	ENVIRONMENTAL ANALYSIS AND MONITORING	环境分析与监测
ENV3043	ENVIRONMENTAL STUDY LABORATORY	环境研究实验室
ENV3053	ENVIRONMENTAL NANOTECHNOLOGY	环境纳米技术
ENV3063	INTRODUCTION TO ENVIRONMENTAL GEOLOGY	环境地质学导论
ENV3073	INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS FOR  ENVIRONMENTAL MANAGEMENT	环境管理地理信息系统导论
ENV3083	FUNDAMENTALS OF BIOGEOCHEMISTRY	生物地球化学基础
ENV3093	TERRESTRIAL AND AQUATIC ENVIRONMENTS IN CHINA	中国陆地和水生环境
ENV3103	INTRODUCTION TO ENVIRONMENTAL ENGINEERING	环境工程导论
ENV3113	CHINAS ENVIRONMENTAL LAW AND INTERNATIONAL COOPERATION POLICY	中国环境法与国际合作政策
ENV3123	INTRODUCTION TO OCCUPATIONAL HEALTH AND SAFETY	职业健康与安全导论
ENV3153	RESEARCH METHODS FOR ENVIRONMENTAL SCIENCE AND STUDIES	环境科学与研究的研究方法
ENV3163	ATMOSPHERIC SCIENCE AND POLLUTION	大气科学与污染
ENV3173	HYDROLOGY AND WATER ENGINEERING	水文学与水利工程
ENV3183	PRACTICAL ENVIRONMENTAL ANALYSIS AND MONITORING	环境分析与监测实践
ENV3193	CARBON TECHNOLOGY AND RENEWABLE ENERGY	碳技术与可再生能源
ENV4003	GREEN BUSINESS MANAGEMENT	绿色商业管理
ENV4004	FINAL YEAR PROJECT I (ENV)	毕业设计一（ENV）
ENV4005	FINAL YEAR PROJECT II (ENV)	毕业设计二（ENV）
ENV4013	INTEGRATED SOLID WASTE MANAGEMENT	固体废物综合管理
ENV4023	ATMOSPHERIC SCIENCE AND POLLUTION	大气科学与污染
ENV4033	LAND CONTAMINATION AND REMEDIATION	土地污染与修复
ENV4043	SELECTED TOPICS IN ENVIRONMENTAL SCIENCE	环境科学选题
ENV4053	WATER SCIENCE AND ENGINEERING	水科学与工程
ENV4063	INTRODUCTION TO ISO GENERIC	ISO通用介绍
ENV4083	ADVANCED GEOGRAPHIC INFORMATION SYSTEMS FOR SUSTAINABLE ENVIRONMENT	可持续环境高级地理信息系统
ENV4073	INTERNSHIP IN ENVIRONMENTAL SCIENCE AND MANAGEMENT	环境科学与管理实习
EPIN3003	MANAGING NEW BUSINESS	管理新业务
EPIN3013	ENTREPRENEURIAL FINANCE	创业金融
EPIN3023	MARKETING FOR ENTREPRENEURS	面向创业者的营销
EPIN3033	ENTREPRENEURIAL DECISIONS AND COMPLIANCE	创业决策与合规
EPIN3043	NEW PRODUCT AND INNOVATION MANAGEMENT	新产品与创新管理
EPIN3053	LOGISTICS AND TRANSPORTATION MANAGEMENT	物流与运输管理
EPIN3063	DIGITAL INNOVATION AND TRANSFORMATION	数字创新与转型
EPIN4003	CORPORATE ENTREPRENEURSHIP	公司创业
EPIN4013	GLOBAL AND SOCIAL ENTREPRENEURSHIP	全球和社会创业
EPIN4023	ENTREPRENEURIAL INTERNSHIP	创业实习
EPIN4033	TECHNOLOGY AND INNOVATION STRATEGY	技术与创新战略
FIN2003	FINANCIAL MANAGEMENT	财务管理
FIN2013	FINANCIAL PLANNING AND INVESTMENT ANALYSIS	财务规划与投资分析
FIN2023	FINANCIAL MANAGEMENT	财务管理
FIN3003	BANKING AND CREDIT	银行与信贷
FIN3013	CORPORATE FINANCE	公司理财
FIN3023	FIXED INCOME SECURITIES	固定收益证券
FIN3033	INTRODUCTION TO FUTURES AND OPTIONS MARKETS	期货和期权市场导论
FIN3043	INVESTMENT MANAGEMENT	投资管理
FIN3053	MULTINATIONAL FINANCE	跨国金融
FIN3063	PRINCIPLES OF CORPORATE FINANCE	公司理财原理
FIN3073	FINANCIAL MATHEMATICS	金融数学
FIN3093	CORPORATE FINANCE	公司理财
FIN4003	MANAGEMENT OF FINANCIAL INSTITUTIONS	金融机构管理
FIN4013	FINANCIAL FORECASTING	财务预测
FIN4023	FINANCIAL RISK MANAGEMENT	金融风险管理
FIN4033	SEMINAR IN FINANCE	金融研讨会
FIN4043	BUSINESS VALUATION	企业估值
FIN4053	FINANCIAL MARKETS IN CHINA	中国金融市场
FIN4063	FINANCE INTERNSHIP	金融实习
FINM2003	THEORY OF FINANCE	金融理论
FINM2013	TIME SERIES FOR FINANCE AND MACROECONOMICS	金融与宏观经济学的时间序列
FINM2023	REGRESSION ANALYSIS (FOR FM STUDENTS)	回归分析（面向FM学生）
FINM2033	PYTHON FOR FINANCE	金融Python
FINM2043	FINANCIAL ENGINEERING	金融工程
FINM2063	INTRODUCTION TO FINANCE	金融学导论
FINM3003	FINANCIAL MATHEMATICS I (FOR FM STUDENTS)	金融数学一（面向FM学生）
FINM3013	INTRODUCTION TO FINANCIAL DERIVATIVES	金融衍生品导论
FINM3023	FIXED INCOME SECURITIES AND THEIR DERIVATIVES	固定收益证券及其衍生品
FINM3033	RISK MANAGEMENT IN FINANCE	金融风险管理
FINM3043	BEHAVIOURAL FINANCE	行为金融学
FINM3053	STATISTICS IN FINANCE	金融统计
FINM3063	INTERNATIONAL FINANCE	国际金融
FINM3073	CORPORATE VALUATION	公司估值
FINM3093	INVESTMENTS	投资
FINM3103	"MONEY, BANKING AND FINANCIAL MARKETS"	货币、银行与金融市场
FINM3113	FINANCIAL ENGINEERING WORKSHOP	金融工程工作坊
FINM3123	INTRODUCTION TO ECONOMETRICS	计量经济学导论
FINM3133	TIME SERIES FOR FINANCE AND MACROECONOMICS	金融与宏观经济学的时间序列
FINM3143	FINANCIAL MATHEMATICS	金融数学
FINM4003	FINANCIAL MATHEMATICS II (FOR FM STUDENTS)	金融数学二（面向FM学生）
FINM4004	FINAL YEAR PROJECT I (FM)	毕业设计一（FM）
FINM4005	FINAL YEAR PROJECT II (FM)	毕业设计二（FM）
FINM4013	DESIGN AND ANALYSIS OF FINANCIAL ALGORITHMS	金融算法的设计与分析
FINM4023	INVESTMENT BANKING	投资银行
FINM4033	FINANCIAL MODELLING	金融建模
FINM4043	EXOTIC OPTIONS AND STRUCTURED PRODUCTS	奇异期权与结构化产品
FINM4053	NUMERICAL AND SIMULATION TECHNIQUES IN FINANCE	金融数值与模拟技术
FINM4063	STOCHASTIC CALCULUS FOR FINANCE	金融随机微积分
FINM4073	ADVANCED FINANCIAL MATHEMATICS	高级金融数学
FOOD1033	INTRODUCTION TO FOOD SCIENCE	食品科学导论
FOOD2013	FOOD CHEMISTRY	食品化学
FOOD3003	FOOD ANALYSIS	食品分析
FOOD3013	NUTRITION	营养学
FOOD3023	FOOD TOXICOLOGY	食品毒理学
FOOD3033	CHEMICAL AND FOOD ANALYSIS LABORATORY	化学与食品分析实验室
FOOD3043	LIFE CYCLE NUTRITION	生命周期营养
FOOD3053	FOOD MATERIALS SCIENCE	食品材料科学
FOOD3063	FOOD PROCESS ENGINEERING	食品加工工程
FOOD3073	FOOD SCIENCE LABORATORY	食品科学实验室
FOOD3083	RESEARCH METHODS IN FOOD SCIENCE	食品科学研究方法
FOOD3093	COMMUNITY NUTRITION	社区营养学
FOOD4003	FOOD SAFETY AND QUALITY MANAGEMENT SYSTEM	食品安全与质量管理体系
FOOD4004	FINAL YEAR PROJECT I (FOOD)	毕业设计一（FOOD）
FOOD4005	FINAL YEAR PROJECT II (FOOD)	毕业设计二（FOOD）
FOOD4013	MEAT AND DAIRY SCIENCE	肉类与乳制品科学
FOOD4023	FUNCTIONAL FOODS	功能性食品
FOOD4033	GRAIN AND CEREAL SCIENCE	谷物与谷物科学
FOOD4043	FOOD BIOTECHNOLOGY	食品生物技术
FOOD4053	FOOD WASTE MANAGEMENT	食品废弃物管理
FOOD4073	FRUIT AND VEGETABLE SCIENCE	果蔬科学
FOOD4083	INTRODUCTION TO HUMAN PATHOPHYSIOLOGY AND  PHARMACOLOGY	人体病理生理学与药理学导论
FOOD4093	NUTRITION AND DISEASE PREVENTION	营养与疾病预防
FOOD4103	NUTRITION IN MEDICAL THERAPY	营养在医学治疗中的应用
FOOD4113	FOOD MICROBIOLOGY AND FOOD SAFETY LABORATORY	食品微生物学与食品安全实验室
FOOD4123	FOOD PACKAGING	食品包装
FOOD4133	WINE AND CHEESE SCIENCE	葡萄酒与奶酪科学
FOOD4143	NUTRITION IN PRACTICE	营养实践
FOOD4153	FOOD PRODUCT DEVELOPMENT AND PRACTICE	食品产品开发与实践
FREN1013	FRENCH I	法语一
FREN2023	FRENCH CULTURE	法国文化
GCAP3003	SERVICE LEARNING AND COMMUNITY ENGAGEMENT	服务学习与社区参与
GCAP3013	DIGITAL MEDIA LITERACY AND YOUTH EDUCATION	数字媒体素养与青年教育
GCAP3023	SERVICE LEARNING THROUGH SECOND LANGUAGE TEACHING	通过第二语言教学进行服务学习
GCAP3033	WRITING FOR THE COMMUNITY	为社区写作
GCAP3043	MAN AND NATURE IN WHOLE PERSON PERSPECTIVE	从整体人的角度看人与自然
GCAP3053	PHILANTHROPY DEVELOPMENT AND SOCIAL SERVICE	慈善发展与社会服务
GCAP3063	COMMUNICATION AND SOCIAL ENGAGEMENT	传播与社会参与
GCAP3073	COMMUNITY FESTIVALS: CULTURAL EVENTS AND MANAGEMENT	社区节日：文化活动与管理
GCAP3083	DIGITAL MEDIA AND MARKETING	数字媒体与营销
GCAP3093	THE ATTENTION ECONOMY: A NEW EXPERIENCE OF CULTURAL CAPITAL	注意经济：文化资本的新体验
GCAP3103	VISUAL ANTHROPOLOGY: DOCUMENTARIES AND ETHNOGRAPHIC  FILMS	视觉人类学：纪录片与民族志电影
GCAP3113	COMPREHENSIVE PRACTICAL TRAINING ON BIG DATA AND AI	大数据与人工智能综合实践训练
GCAP3123	COMPUTER TECHNOLOGY AND AI PROJECT	计算机技术与人工智能项目
GCAP3133	DIGITAL IMAGES IN DAILY LIFE	日常生活中的数字图像
GCAP3143	ECOLOGICAL CIVILIZATION IN GREATER BAY COMMUNITY	大湾区生态文明建设
GCAP3153	PROMOTING SOCIAL INCLUSION THROUGH INTERGENERATIONAL  PROGRAMMING	通过代际项目促进社会包容
